density,nelements,avg_electronegativity,avg_atomic_mass,vol_per_site,band_gap,avg_ve,range_ve,avg_group,std_group,avg_period,max_en,min_en,range_en,avg_rad,range_rad,n_unique,total_ve,density_ve_ratio
9.10912986732577,2,2.504,100.39964,18.30224477209262,3.52259999999999,4.8,3.0,10.8,6.368673331236264,4.0,3.44,1.1,2.34,119.0,115.0,2.0,24.0,1.8590060953726062
6.53514933829152,2,1.988,110.038999999999,27.960196300176,2.2962,4.8,3.0,10.8,6.368673331236264,4.6,2.58,1.1,1.48,136.4,86.0,2.0,24.0,1.3337039465901062
8.72823008186664,3,2.606,60.39594772,11.49028264753796,4.1024,4.8,3.0,12.8,5.035871324805669,3.2,3.44,1.1,2.34,110.0,115.0,3.0,24.0,1.7812714452789062
5.67908621167652,2,2.49499999999999,116.678,34.116118331571876,4.10329999999999,6.0,4.0,13.5,6.06217782649107,4.75,2.96,1.1,1.8599999999999999,132.5,74.0,2.0,24.0,0.9309977396191016
7.65229011709217,3,2.5,107.634466666666,23.356568305407,4.241,5.333333333333333,4.0,12.0,6.377042156569663,4.333333333333333,3.44,1.1,2.34,125.0,115.0,3.0,16.0,1.4083969540660437
4.72443863280496,2,2.645,83.33975,29.292138480696874,5.0865,6.0,4.0,13.5,6.06217782649107,4.0,3.16,1.1,2.06,121.25,89.0,2.0,24.0,0.7744981365254032
7.15687061549126,3,2.56666666666666,92.8174666666666,21.535533858783168,4.4451,5.333333333333333,4.0,12.0,6.377042156569663,4.0,3.44,1.1,2.34,120.0,115.0,3.0,16.0,1.317215450703913
8.84878804672861,3,2.616,65.39886,12.27256900805216,2.0031,5.4,3.0,11.4,5.71314274283428,3.4,3.44,1.1,2.34,107.0,115.0,3.0,27.0,1.6088705539506563
8.79376490294314,2,3.26,70.9988024,13.4068042946606,6.0693,6.0,4.0,13.5,6.06217782649107,3.25,3.98,1.1,2.88,100.25,117.0,2.0,24.0,1.4416008037611705
8.88999946591949,3,2.65,66.16864,12.35946212651734,0.988799999999999,5.8,5.0,11.8,5.381449618829484,3.4,3.44,1.1,2.34,106.6,115.0,3.0,29.0,1.5067795704948288
9.31449500321555,3,2.646,68.94424,12.291015658661461,2.8959,4.8,3.0,12.8,5.035871324805669,3.4,3.44,1.1,2.34,108.4,115.0,3.0,24.0,1.9009173475950103
7.78473382185904,2,1.925,57.505955,12.26642901668765,0.640699999999999,1.5,2.0,1.5,0.8660254037844386,2.5,2.2,1.1,1.1,74.75,151.0,2.0,6.0,4.8654586386619
4.33441983288912,2,2.27,151.9283525,58.204552022425,2.5892,6.0,4.0,13.5,6.06217782649107,5.5,2.66,1.1,1.56,146.75,55.0,2.0,24.0,0.7105606283424787
8.01361833485228,2,2.07,120.50335,24.970058713790927,0.0517,4.0,2.0,9.0,6.0,4.5,3.04,1.1,1.94,131.5,113.0,2.0,8.0,1.9545410572810442
